Data Set;Business Object;Field name;Field w/out;Field type;Description;Privacy Classification (data class);Service Now;Luca;
Employee;Employee;Manager's Position(s);Manager'sPosition(s);Multi-instance;The position(s) for the worker's primary supervisory manager(s). Returns workers from a filled position resolved from any of assigned, inherited, or defaulted positions.;Public;;;
Employee;Employee;Marital Status;MaritalStatus;Single instance;The marital status of a worker;Confidential;;;
Employee;Employee;Marital Status Date;MaritalStatusDate;Date;The date of the worker's current marital status. ;Confidential;;;
Employee;Employee;Mobile Phone Number;MobilePhoneNumber;Text;The mobile phone number for the worker including area code but without country code.;Public;;;
Employee;Employee;Nationality;Nationality;Text;The primary nationality of the worker.;Public;;;
Employee;Employee;Passport ID;PassportID;Text;The passport ID of the worker.;Confidential;;;
Employee;Employee;Preferred Full Name Value;PreferredFullNameValue;Text;The preferred full name of a candidate;Public;;;
Employee;Employee;Preferred User Language;PreferredUserLanguage;Single instance;Indicates the user language for the worker;Public;;;
Employee;Employee;Primary Home Address - City;PrimaryHomeAddress-City;Text;The city from the primary home address of the worker;Confidential;;;
Employee;Employee;Primary Home Address - Country;PrimaryHomeAddress-Country;Single instance;The country from the worker's primary home address.;Confidential;;;
Employee;Employee;Primary Home Address - Formatted Line 1;PrimaryHomeAddress-FormattedLine1;Text;Line 1 of the formatted primary work or home address for the worker. Work address is used only for workers with a work address override (i.e., a worker-specific work address that is normally different from their default business site location address). Data from the worker's primary home address is returned otherwise.;Confidential;;;
Employee;Employee;Primary Home Address - Formatted Line 2;PrimaryHomeAddress-FormattedLine2;Text;Line 2 of the formatted primary work or home address for the worker. Work address is used only for workers with a work address override (i.e., a worker-specific work address that is normally different from their default business site location address). Data from the worker's primary home address is returned otherwise.;Confidential;;;
Employee;Employee;Primary Home Address - Formatted Line 3;PrimaryHomeAddress-FormattedLine3;Text;Line 3 of the formatted primary work or home address for the worker. Work address is used only for workers with a work address override (i.e., a worker-specific work address that is normally different from their default business site location address). Data from the worker's primary home address is returned otherwise.;Confidential;;;
Employee;Employee;Primary Home Address - Formatted Line 4;PrimaryHomeAddress-FormattedLine4;Text;Line 4 of the formatted primary work or home address for the worker. Work address is used only for workers with a work address override (i.e., a worker-specific work address that is normally different from their default business site location address). Data from the worker's primary home address is returned otherwise.;Confidential;;;
Employee;Employee;Primary Home Address - Postal Code;PrimaryHomeAddress-PostalCode;Text;Returns the Postal Code of this Worker's Primary Home Address.;Confidential;;;
Employee;Employee;Primary Home Address - Province;PrimaryHomeAddress-Province;Single instance;Returns the Province of this Worker's Primary Home Address.;Confidential;;;
Employee;Employee;Primary Home Address - State;PrimaryHomeAddress-State;Single instance;Returns the State of this Worker's Primary Home Address.;Confidential;;;
Employee;Employee;Primary Work Phone;PrimaryWorkPhone;Single instance;Returns the primary work phone number for the worker.;Public;;;
Employee;Employee;Religion;Religion;Multi-instance;The religion of the worker. This report field cannot be secured by country.;Confidential;;;
Employee;Employee;Resignation Date;ResignationDate;Date;The date the employee submitted their resignation notice for the most recent termination.;Confidential;;;
Employee;Employee;Social Network Accounts;SocialNetworkAccounts;Multi-instance;Contains the social network accounts (twitter, facebook, google+, or linkedin) for a worker.;Public;;;
Employee;Employee;Terminated;Terminated;Boolean;True if worker's primary position is terminated or if the contract has ended. Use for business process condition rules but not for custom reports. ;Public;;;
Employee;Employee;Terminated while On Leave;TerminatedwhileOnLeave;Boolean;Returns true when a Worker has been terminated while on leave. This field uses the latest Termination date and compare against latest First Day of Leave and Actual Last Day of Leave or Estimated Last Day of Leave dates.;Public;;;
Employee;Employee;Termination Date;TerminationDate;Date;"The Effective Date of the worker's last termination. Doesn't include future-dated terminations or terminations with a rehire on the next day.
To include terminations with a next-day rehire, use the Termination Date - All report field.";Public;;;
Employee;Employee;Time Type;TimeType;Single instance;The position time type for the worker's primary position.;Public;;;
Employee;Employee;User Name;UserName;Text;Contains the User Name associated with the Workday Account;Public;x;x;
Employee;Employee;Visa;Visa;Text;The visa of the worker.;Confidential;;;
Employee;Employee;Work Address - City;WorkAddress-City;Text;The city from the work address for the worker. If the work address is blank, then uses the city of the primary address from the worker's location.;Public;;;
Employee;Employee;Work Address - Country;WorkAddress-Country;Text;The country from the work address for the worker. If the work address is blank, then uses the country of the primary address from the worker's location.;Public;;;
Employee;Employee;Work Address - Full;WorkAddress-Full;Text;The full primary work address for the worker. If blank, then pulls the primary address from the worker's location.;Public;;;
Employee;Employee;Work Address - Postal Code;WorkAddress-PostalCode;Text;The postal code from the primary work address for the worker. If the work address is blank, then uses the postal code of the primary address from the worker's location.;Public;;;
Employee;Employee;Work Address - State/Province;WorkAddress-State/Province;Text;The state from the work address for the worker. If the work address is blank, then uses the state of the primary address from the worker's location.;Public;;;
Employee;Employee;Worker has Photo;WorkerhasPhoto;Boolean;Returns true if the Worker has a photo in the system.;Public;;;
Employee;Employee;Worker is Employee;WorkerisEmployee;Boolean;Returns true if the worker is an employee, rather than a contingent worker.;Public;;;
Employee;Employee;Worker is Terminated;WorkerisTerminated;Boolean;Indicates whether the worker is terminated as of the current date.;Public;;;
Employee;Employee;Worker Type;WorkerType;Single instance;The worker type (employee or contingent worker) for a worker.;Public;x;x;
Employee;Employee;Worker's Manager;Worker'sManager;Multi-instance;The supervisory manager for the worker's primary position.;Public;;;
Employee;Employee;Works from Home;WorksfromHome;Boolean;Indicates if the Worker works from home.;Public;;;
Employee;Employee;Years of Service;YearsofService;Numeric;The years of service for the worker.;Confidential;;;
Employee;Employee;Termination Reason;TerminationReason;Text;"The Primary Reason for the worker's last termination. Doesn't include future-dated terminations or terminations with a rehire on the next day.
To include terminations with a next-day rehire, use the Termination Reason - All report field.";Confidential;;;
Location;Location;Date of Last Change;DateofLastChange;Date;When this location was last updated. This field comes from table named 'Location'.;Public;;;
Location;Location;Display Language;DisplayLanguage;Single instance;Returns the display language for the location. If the display language for the location has not been specified, will return the display language associated with locale for the location. If no locale has been specified for the location, will return the display language for the tenant. If no display language has been specified for the tenant, will return the display language associated with locale for the tenant. This field comes from table named 'Location'.;Public;x;x;
Location;Location;Inactive;Inactive;Boolean;Is the location inactive? This field comes from table named 'Location'.;Public;;;
Location;Location;Locale;Locale;Single instance;Returns the locale for the location. If the locale for the location has not been specified, will return the default locale from the tenant. This field comes from table named 'Location'.;Public;;;
Location;Location;Location Identifier;LocationIdentifier;Text;The location identifier of the location.This field comes from table named 'Location'.;Public;;;
Location;Location;Location Name;LocationName;Text;The name of the location.This field comes from table named 'Location'.;Public;;;
Location;Location;Location Number of Workers;LocationNumberofWorkers;Numeric;The number of Workers in this location. The number doesn't include Workers in workspaces or subordinate locations.This field comes from table named 'Location'.;Public;;;
Location;Location;Location type;Locationtype;Multi-instance;The type of the location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - City;PrimaryAddress-City;Text;The city from the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - Country Name;PrimaryAddress-CountryName;Text;The country from the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - Full;PrimaryAddress-Full;Text;The full address without country of the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - Full with Country;PrimaryAddress-FullwithCountry;Text;The full address with country of the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - Line 1;PrimaryAddress-Line1;Text;Line 1 of the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - Line 2;PrimaryAddress-Line2;Text;Line 2 of the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - Line 3;PrimaryAddress-Line3;Text;Line 3 of the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - Line 4;PrimaryAddress-Line4;Text;Line 4 of the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - Postal Code;PrimaryAddress-PostalCode;Text;The postal code  from the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Primary Address - State/Province;PrimaryAddress-State/Province;Text;The state from the primary address for the Location.This field comes from table named 'Location'.;Public;;;
Location;Location;Region ID;RegionID;Text;The ISO 3166-2 region code of the primary address for the location.This field comes from table named 'Location'.;Public;;;
Location;Location;Superior Location;SuperiorLocation;Single instance;The superior of this location.This field comes from table named 'Location'.;Public;;;
Location;Location;Time Profile;TimeProfile;Single instance;Returns the time profile used by the location.This field comes from table named 'Location'.;Public;;;
Location;Location;Time Zone;TimeZone;Single instance;Returns the time zone for the location. If the time zone for the location has not been specified, will return the default time zone from the tenant.This field comes from table named 'Location'.;Public;x;x;
Company;Company;Active Workers;ActiveWorkers;Multi-instance;Returns the Active Workers for Headcount Plan reporting. If this Organization is the lowest level of the Organizations included in the Headcount Plan for Reporting parameter, then the active Workers for all subordinate Organizations are also included. This field comes from table named 'Company'.;Public;;;
Company;Company;All Contingent Workers;AllContingentWorkers;Multi-instance;Contains contingent workers for the organization with staffing behavior.This field comes from table named 'Company'.;Public;;;
Company;Company;All Employees;AllEmployees;Multi-instance;Contains employees for the organization with staffing behavior.This field comes from table named 'Company';Public;;;
Company;Company;Availability Date;AvailabilityDate;Date;The availability date for the organization.This field comes from table named 'Company'.;Public;;;
Company;Company;Code;Code;Text;The organization id for the organization.This field comes from table named 'Company'.;Public;;;
Company;Company;Company;Company;Self referencing instance;The company ID for the company.This field comes from table named 'Company'.;Public;;;
Company;Company;Currency;Currency;Single instance;The default currency of the company. This field comes from table named 'Company'.;Public;;;
Company;Company;Inactive;Inactive;Boolean;Indicates whether the organization is inactive. This field comes from table named 'Company'.;Public;;;
Company;Company;Name;Name;Text;The organization name for the organization. This field comes from table named 'Company'.;Public;;;
Company;Company;Subtype;Subtype;Single instance;The organization subtype (e.g. Business Unit, Department, etc.) for the organization. This field comes from table named 'Company'.;Public;;x;
Company;Company;Type;Type;Multi-instance;Returns the Organization Type. This field comes from table named 'Company'.;Public;;;
Company;Company;Visibility;Visibility;Single instance;Indicates who can view the organization (e.g. Everyone, Role Assignees, etc.). This field comes from table named 'Company'.;Public;;;
Cost Center;Cost Center;Active Workers;ActiveWorkers;Multi-instance;Returns the Active Workers for Headcount Plan reporting. If this Organization is the lowest level of the Organizations included in the Headcount Plan for Reporting parameter, then the active Workers for all subordinate Organizations are also included. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;All Contingent Workers;AllContingentWorkers;Multi-instance;Contains contingent workers for the organization with staffing behavior. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;All Employees;AllEmployees;Multi-instance;Contains employees for the organization with staffing behavior.This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Availability Date;AvailabilityDate;Date;The availability date for the organization.This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Business Area / Profit Center;BusinessArea/ProfitCenter;Text;The Business Area/Profit Center. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Business Area / Profit Center Code;BusinessArea/ProfitCenterCode;Text;The code for the respective Business Area/Profit Center. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Business Unit;BusinessUnit;Single instance;Business Unit Worktag. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Business Unit  Code;BusinessUnitCode;Text;The code for the respective business unit.This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Business Unit next Year  Code;BusinessUnitnextYearCode;Text;The code for the respective business unit next year.This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Category;Category;Text;The category for the organization.This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Category  Code;CategoryCode;Text;The category code for the organization.This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Code;Code;Text;The organization id for the organization.This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Company Code;CompanyCode;Text;The company code of the organization.This field comes from table named 'Cost Center'.;Public;x;x;
Cost Center;Cost Center;Cost Center;CostCenter;Single instance;Cost Center as Worktag. This field comes from table named 'Cost Center'.;Public;;x;
Cost Center;Cost Center;Country;Country;Text;The country for the Cost Center. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Segment;Segment;Text;The segment for the Cost Center. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Subtype;Subtype;Single instance;The cost center subtype. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Type;Type;Multi-instance;Returns the Organization Type. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Visibility;Visibility;Single instance;Indicates who can view the organization (e.g. Everyone, Role Assignees, etc.). This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Segment Next Year;SegmentNextYear;Text;The segment for the Cost Center next year. This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;Business Unit next Year - Code;BusinessUnitnextYear-Code;Text;The Business Unit for the Cost Center next year.This field comes from table named 'Cost Center'.;Public;;;
Cost Center;Cost Center;FR Unit Next Year;FRUnitNextYear;Text;The FR Unit of the organization next year. This field comes from table named 'Cost Center'.;Public;;;
;;Badge ID;BadgeID;Text;The badge ID for the worker;;;x;
;;CF INT Country Code IA;CFINTCountryCodeIA;Text;;;;x;
;;CF INT LRV Location without HR IA;CFINTLRVLocationwithoutHRIA;Text;;;x;x;
;;CF INT LRV Manager Email IA;CFINTLRVManagerEmailIA;Text;;;x;x;
;;CF INT LRV Manager Legal Name IA;CFINTLRVManagerLegalNameIA;Text;;;x;x;
;;CF INT LRV Manager User IA;CFINTLRVManagerUserIA;Text;;;x;x;
;;CF INT LRV Position Title IA;CFINTLRVPositionTitleIA;Text;;;x;x;
;;CF INT LRV Position ID IA;CFINTLRVPositionIDIA;Text;;;x;x;
;;CF INT LRV Superv Org ID IA;CFINTLRVSupervOrgIDIA;Text;;;x;x;
;;CF INT LRV Superv Org Text IA;CFINTLRVSupervOrgTextIA;Text;;;x;x;
;;CF INT Language Code LRV;CFINTLanguageCodeLRV;Text;;;x;x;
;;CF MZ  Reporting line Segment Worker  LRV;CFMZReportinglineSegmentWorkerLRV;Single instance;;;x;x;
;;CF INT is Water;CFINTisWater;Boolean;The employee is part of innovative watercare (not in use).;;x;;
;;CF INT FR Unit IA;CFINTFRUnitIA;Text;;;x;;
